,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,116,5,33,16,45,3,9,0,5,33,5,18,4,0,5,2,3,3,7,5,5,13,0,0,1,0,1,2,6,5,6,0,0,29,0,0,1,4,0,0,20,58,1,2
palitravideo,5,24,1,6,3,0,4,1,6,1,0,2,1,1,4,8,3,3,5,4,2,1,2,3,1,2,1,5,2,1,1,0,0,1,2,3,2,5,0,0,5,2,0,0
mpn,33,1,29,4,22,0,4,0,1,10,4,4,1,0,0,0,1,2,0,2,0,6,0,0,0,0,0,1,0,1,0,0,0,16,0,0,1,0,0,0,11,22,0,1
ghn,16,6,4,58,12,2,15,5,9,18,0,9,5,4,13,8,20,10,6,10,1,5,0,7,3,2,2,3,11,11,1,0,2,4,0,1,2,7,3,0,16,14,1,1
rustavi2,45,3,22,12,75,1,10,1,8,19,4,8,3,2,8,5,4,4,3,3,3,11,2,1,1,1,2,4,4,7,2,0,2,24,0,0,2,7,2,3,16,30,1,2
bpn,3,0,0,2,1,19,3,0,3,1,0,0,1,0,0,0,2,1,12,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
ipn,9,4,4,15,10,3,50,4,7,12,1,3,4,3,10,2,18,8,4,6,0,0,3,5,5,2,0,2,4,6,1,0,2,5,0,0,0,4,3,0,13,9,0,1
publika,0,1,0,5,1,0,4,18,2,1,0,1,0,5,8,3,7,11,1,6,1,1,1,9,2,0,1,1,2,6,1,1,0,0,0,0,0,7,3,0,3,0,1,0
palitranews,5,6,1,9,8,3,7,2,36,5,0,3,3,2,6,3,7,6,3,2,3,2,2,4,0,1,2,3,4,4,1,0,0,1,0,1,1,3,2,0,5,1,0,1
1tv,33,1,10,18,19,1,12,1,5,68,0,16,4,1,1,2,2,3,3,3,3,9,1,0,1,0,0,1,2,5,2,0,1,11,0,0,0,2,3,0,11,22,0,2
postv,5,0,4,0,4,0,1,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,5,0,0
tiflisnews,18,2,4,9,8,0,3,1,3,16,0,27,0,1,2,5,2,2,2,4,1,8,0,1,0,1,1,3,2,2,1,0,0,5,1,0,3,0,1,0,8,9,0,1
sova,4,1,1,5,3,1,4,0,3,4,1,0,26,0,1,0,1,2,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,3,0,0,2,2,0,1
netgazeti,0,1,0,4,2,0,3,5,2,1,0,1,0,11,6,1,6,3,1,4,1,2,0,4,1,3,0,2,0,3,1,3,0,1,0,1,0,3,3,0,4,0,1,0
mtavari,5,4,0,13,8,0,10,8,6,1,0,2,1,6,46,10,21,9,6,11,0,2,1,11,1,7,2,2,13,13,1,4,1,0,1,1,2,11,4,0,8,1,1,0
metronome-mix,2,8,0,8,5,0,2,3,3,2,0,5,0,1,10,33,10,6,3,17,1,2,0,3,1,0,1,3,4,1,3,0,1,0,6,0,5,1,2,0,6,4,0,0
tvpirveli,3,3,1,20,4,2,18,7,7,2,0,2,1,6,21,10,62,10,7,23,1,1,2,8,2,6,0,3,9,7,3,1,1,0,1,2,2,7,3,3,12,2,1,0
on,3,3,2,10,4,1,8,11,6,3,1,2,2,3,9,6,10,27,3,5,1,2,3,9,1,0,1,1,4,6,1,0,0,1,1,0,1,6,3,0,2,2,1,0
bm,7,5,0,6,3,12,4,1,3,3,0,2,1,1,6,3,7,3,36,8,0,0,0,3,0,3,0,1,1,0,2,0,0,1,0,1,0,3,0,3,1,2,0,0
alia,5,4,2,10,3,2,6,6,2,3,0,4,1,4,11,17,23,5,8,43,1,3,0,3,2,1,0,3,3,3,5,2,1,1,2,1,3,2,3,0,6,3,0,0
primetime,5,2,0,1,3,0,0,1,3,3,0,1,0,1,0,1,1,1,0,1,8,2,0,0,1,0,0,1,2,0,1,0,0,0,1,0,0,2,1,0,1,1,0,0
gttv,13,1,6,5,11,0,0,1,2,9,0,8,0,2,2,2,1,2,0,3,2,17,0,1,0,0,1,1,1,1,1,1,0,7,0,0,1,0,2,0,9,8,0,0
euronewsgeorgia,0,2,0,0,2,0,3,1,2,1,0,0,1,0,1,0,2,3,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
formula,0,3,0,7,1,0,5,9,4,0,0,1,0,4,11,3,8,9,3,3,0,1,1,15,2,3,2,0,2,6,0,1,0,0,0,1,1,4,2,0,3,0,1,0
ambebi,1,1,0,3,1,0,5,2,0,1,0,0,0,1,1,1,2,1,0,2,1,0,2,2,8,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
metronome,0,2,0,2,1,0,2,0,1,0,0,1,0,3,7,0,6,0,3,1,0,0,0,3,0,10,0,1,1,2,0,1,0,0,0,3,0,3,0,0,3,0,0,0
jamnews,1,1,0,2,2,0,0,1,2,0,0,1,0,0,2,1,0,1,0,0,0,1,0,2,1,0,3,1,2,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0
kvirispalitra,2,5,1,3,4,2,2,1,3,1,0,3,0,2,2,3,3,1,1,3,1,1,0,0,0,1,1,11,1,2,1,0,0,1,1,1,3,2,1,0,4,0,0,0
radiotavisupleba,6,2,0,11,4,1,4,2,4,2,0,2,2,0,13,4,9,4,1,3,2,1,0,2,0,1,2,1,22,7,0,1,0,0,0,0,2,5,1,0,4,0,1,0
tabula,5,1,1,11,7,0,6,6,4,5,0,2,1,3,13,1,7,6,0,3,0,1,0,6,2,2,3,2,7,28,0,1,0,1,0,1,1,6,3,0,2,0,1,0
sputnik,6,1,0,1,2,0,1,1,1,2,0,1,0,1,1,3,3,1,2,5,1,1,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,1,0,1,0,2,0
batumelebi,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,1,0,0,2,0,1,0,1,1,1,1,0,1,1,0,7,0,1,1,0,0,1,1,0,1,0,0,0
paraleli,0,0,0,2,2,0,2,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0
newspress,29,1,16,4,24,0,5,0,1,11,3,5,1,1,0,0,0,1,1,1,0,7,0,0,0,0,0,1,0,1,0,1,0,32,0,0,1,0,1,0,12,25,0,2
newsline,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,1,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,10,0,2,1,0,0,0,1,0,0
civil,0,3,0,1,0,0,0,0,1,0,0,0,1,1,1,0,2,0,1,1,0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,5,0,2,0,0,1,0,0,0
allnews,1,2,1,2,2,0,0,0,1,0,0,3,0,0,2,5,2,1,0,3,0,1,0,1,0,0,1,3,2,1,0,0,0,1,2,0,7,0,0,0,2,0,0,0
accentnews,4,5,0,7,7,1,4,7,3,2,0,0,3,3,11,1,7,6,3,2,2,0,1,4,0,3,0,2,5,6,0,1,1,0,1,2,0,21,1,3,2,2,0,0
timer,0,0,0,3,2,0,3,3,2,3,0,1,0,3,4,2,3,3,0,3,1,2,0,2,0,0,0,1,1,3,1,1,0,1,0,0,0,1,9,0,2,0,0,0
itv,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0
frontnews2,20,5,11,16,16,0,13,3,5,11,1,8,2,4,8,6,12,2,1,6,1,9,0,3,0,3,1,4,4,2,1,1,0,12,0,1,2,2,2,0,44,18,1,1
reportiori,58,2,22,14,30,0,9,0,1,22,5,9,2,0,1,4,2,2,2,3,1,8,0,0,0,0,0,0,0,0,0,0,2,25,1,0,0,2,0,0,18,65,0,2
amerikiskhma,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,4,0
agenda,2,0,1,1,2,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,16
