,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,12928,272,1822,1729,4561,208,1421,211,986,3369,1349,1583,415,136,586,356,563,433,1001,599,409,1014,241,294,117,242,25,238,467,526,370,39,108,2605,62,66,89,308,410,0,1746,3773,34,68
palitravideo,272,2390,65,381,367,92,267,152,566,191,39,269,103,114,365,984,587,239,206,510,127,97,74,184,155,102,13,283,172,126,102,44,56,82,273,22,146,166,180,0,227,100,7,3
mpn,1822,65,2035,258,918,16,169,29,124,550,509,349,41,23,38,57,74,83,111,101,68,237,31,37,19,33,7,62,39,58,53,3,32,826,10,16,19,42,54,0,607,945,4,15
ghn,1729,381,258,5613,1194,130,1039,505,1037,1665,140,752,500,364,1522,514,1623,727,956,800,177,430,223,838,186,474,54,272,726,973,216,98,110,674,53,61,127,827,773,53,1153,634,40,16
rustavi2,4561,367,918,1194,7334,161,1028,212,865,1934,677,1114,267,142,559,487,629,359,761,623,395,754,196,279,124,193,26,235,290,380,358,54,114,1448,68,54,95,306,368,35,1348,1507,24,46
bpn,208,92,16,130,161,1489,178,58,270,167,23,45,63,73,116,127,183,74,726,188,25,98,40,56,74,44,16,81,61,88,46,19,14,191,21,18,77,135,79,72,126,48,4,8
ipn,1421,267,169,1039,1028,178,4670,203,973,974,132,485,240,127,654,262,1118,403,668,380,77,247,172,317,190,224,23,204,334,403,132,73,76,452,32,34,70,494,380,27,736,474,29,13
publika,211,152,29,505,212,58,203,1684,355,205,13,112,193,358,628,199,711,432,363,367,38,97,127,570,58,212,56,89,391,361,75,105,18,73,23,71,33,499,227,22,280,68,13,3
palitranews,986,566,124,1037,865,270,973,355,5507,768,78,404,431,249,804,338,1076,617,530,499,110,307,383,497,246,393,61,424,498,440,183,65,68,200,32,127,217,542,380,0,583,248,29,12
1tv,3369,191,550,1665,1934,167,974,205,768,7880,320,1687,420,141,646,292,466,340,694,403,208,721,191,375,132,243,20,194,483,481,235,40,70,759,50,24,73,320,565,0,1121,1253,40,44
postv,1349,39,509,140,677,23,132,13,78,320,1431,204,20,8,35,27,32,38,81,70,43,123,17,20,6,13,3,23,20,19,48,3,17,713,4,13,5,16,42,0,343,553,1,13
tiflisnews,1583,269,349,752,1114,45,485,112,404,1687,204,3972,135,99,291,500,325,177,226,365,320,414,72,193,81,153,19,164,168,190,99,23,58,353,114,11,72,166,316,0,507,673,11,8
sova,415,103,41,500,267,63,240,193,431,420,20,135,3305,134,401,110,356,239,326,171,56,91,161,297,65,146,50,110,487,377,59,36,8,34,13,50,35,319,157,0,168,101,28,46
netgazeti,136,114,23,364,142,73,127,358,249,141,8,99,134,1200,371,138,471,260,347,263,24,84,100,299,45,114,40,78,327,231,41,74,11,85,15,40,31,318,166,67,203,33,13,1
mtavari,586,365,38,1522,559,116,654,628,804,646,35,291,401,371,4906,928,2168,672,768,1277,134,211,202,1146,168,665,66,216,687,723,172,173,58,78,72,74,62,842,780,1,657,144,29,8
metronome-mix,356,984,57,514,487,127,262,199,338,292,27,500,110,138,928,4319,1033,270,483,1079,334,189,72,306,140,59,26,231,244,210,161,87,73,61,350,17,143,212,218,0,255,127,9,4
tvpirveli,563,587,74,1623,629,183,1118,711,1076,466,32,325,356,471,2168,1033,6534,807,1098,1696,137,275,273,982,206,547,71,277,684,721,202,219,73,340,96,83,104,1040,827,121,916,194,36,11
on,433,239,83,727,359,74,403,432,617,340,38,177,239,260,672,270,807,2367,451,414,60,142,175,476,91,266,55,160,355,445,95,120,41,103,30,75,85,474,260,0,358,159,27,7
bm,1001,206,111,956,761,726,668,363,530,694,81,226,326,347,768,483,1098,451,5944,748,143,388,201,429,105,230,62,157,388,480,256,114,45,681,68,78,78,779,437,189,635,327,29,24
