run1_id,run2_id,ari_score,run1_sample,run1_network_method,run1_community_method,run1_param_id,run1_n_communities,run2_sample,run2_network_method,run2_community_method,run2_param_id,run2_n_communities,same_sample,same_network_method,same_community_method,same_param_id,common_outlets,comparison_type
sample_11_cooccurrence_spectral_clustering_params_9,sample_11_dice_louvain_params_6,0.18047882136279927,sample_11,cooccurrence,spectral_clustering,params_9,3,sample_11,dice,louvain,params_6,9,True,False,False,False,49,same_sample_diff_method
sample_05_cooccurrence_walktrap_params_3,sample_06_jaccard_louvain_params_6,0.1350253807106599,sample_05,cooccurrence,walktrap,params_3,2,sample_06,jaccard,louvain,params_6,8,False,False,False,False,49,diff_method_diff_sample
sample_06_dice_spectral_clustering_params_2,sample_18_conditional_probability_louvain_params_4,0.28740240036511205,sample_06,dice,spectral_clustering,params_2,4,sample_18,conditional_probability,louvain,params_4,3,False,False,False,False,49,diff_method_diff_sample
sample_03_conditional_probability_spectral_clustering_params_2,sample_08_tfidf_similarity_walktrap_params_3,0.508568012752391,sample_03,conditional_probability,spectral_clustering,params_2,4,sample_08,tfidf_similarity,walktrap,params_3,2,False,False,False,False,49,diff_method_diff_sample
sample_05_cooccurrence_louvain_params_4,sample_06_dice_louvain_params_0,0.18631546823534365,sample_05,cooccurrence,louvain,params_4,3,sample_06,dice,louvain,params_0,5,False,False,True,False,49,diff_method_diff_sample
sample_02_cosine_spectral_clustering_params_1,sample_15_conditional_probability_leiden_params_0,-0.025510204081632654,sample_02,cosine,spectral_clustering,params_1,3,sample_15,conditional_probability,leiden,params_0,2,False,False,False,False,49,diff_method_diff_sample
sample_09_lift_spectral_clustering_params_3,sample_19_pmi_spectral_clustering_params_6,0.24916252998861263,sample_09,lift,spectral_clustering,params_3,5,sample_19,pmi,spectral_clustering,params_6,3,False,False,True,False,49,diff_method_diff_sample
sample_01_cooccurrence_spectral_clustering_params_10,sample_18_tfidf_similarity_louvain_params_4,0.4427392234790584,sample_01,cooccurrence,spectral_clustering,params_10,5,sample_18,tfidf_similarity,louvain,params_4,3,False,False,False,False,49,diff_method_diff_sample
sample_13_jaccard_threshold_components_params_3,sample_13_dice_threshold_components_params_4,0.8391489361702128,sample_13,jaccard,threshold_components,params_3,21,sample_13,dice,threshold_components,params_4,18,True,False,True,False,49,same_sample_diff_method
sample_04_dice_spectral_clustering_params_6,sample_19_dice_louvain_params_4,0.6945893759500431,sample_04,dice,spectral_clustering,params_6,3,sample_19,dice,louvain,params_4,3,False,True,False,False,49,diff_method_diff_sample
sample_15_jaccard_girvan_newman_params_0,sample_17_pmi_spectral_clustering_params_10,0.003769406554055646,sample_15,jaccard,girvan_newman,params_0,2,sample_17,pmi,spectral_clustering,params_10,5,False,False,False,False,49,diff_method_diff_sample
sample_08_tfidf_similarity_spectral_clustering_params_8,sample_10_conditional_probability_spectral_clustering_params_9,0.24369543640746216,sample_08,tfidf_similarity,spectral_clustering,params_8,8,sample_10,conditional_probability,spectral_clustering,params_9,3,False,False,True,False,49,diff_method_diff_sample
sample_12_dice_spectral_clustering_params_9,sample_14_cooccurrence_spectral_clustering_params_4,0.10534599929633538,sample_12,dice,spectral_clustering,params_9,3,sample_14,cooccurrence,spectral_clustering,params_4,6,False,False,True,False,49,diff_method_diff_sample
sample_01_pmi_spectral_clustering_params_6,sample_08_conditional_probability_walktrap_params_3,-0.07078052867048108,sample_01,pmi,spectral_clustering,params_6,3,sample_08,conditional_probability,walktrap,params_3,2,False,False,False,False,49,diff_method_diff_sample
sample_02_dice_threshold_components_params_1,sample_11_cooccurrence_louvain_params_3,0.060240963855421686,sample_02,dice,threshold_components,params_1,2,sample_11,cooccurrence,louvain,params_3,2,False,False,False,False,49,diff_method_diff_sample
sample_00_dice_walktrap_params_4,sample_05_cooccurrence_louvain_params_3,0.6332234583161653,sample_00,dice,walktrap,params_4,2,sample_05,cooccurrence,louvain,params_3,3,False,False,False,False,49,diff_method_diff_sample
sample_02_tfidf_similarity_louvain_params_5,sample_04_lift_threshold_components_params_8,0.07898308564389749,sample_02,tfidf_similarity,louvain,params_5,6,sample_04,lift,threshold_components,params_8,23,False,False,False,False,49,diff_method_diff_sample
